trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
226,5600,4,5450,3,left,1,3,5.727,Wed May 11 15:50:41 2016
227,5300,2,6200,8,left,0,13,4.825,Wed May 11 15:50:46 2016
228,1450,10,1250,4,right,0,23,10.4,Wed May 11 15:51:02 2016
229,5150,1,5300,2,right,1,1,8.663,Wed May 11 15:51:12 2016
230,5300,2,6200,8,left,0,13,29.085,Wed May 11 15:51:41 2016
231,6500,10,5600,4,right,0,17,26.115,Wed May 11 15:52:08 2016
232,1150,1,1250,4,left,0,19,13.801,Wed May 11 15:52:22 2016
233,6350,9,5450,3,right,0,15,23.145,Wed May 11 15:52:46 2016
234,5150,1,6500,10,left,0,18,10.949,Wed May 11 15:52:57 2016
235,1350,7,1150,1,right,0,22,11.263,Wed May 11 15:53:09 2016
236,6350,9,5450,3,right,0,15,30.953,Wed May 11 15:53:40 2016
237,1150,1,1350,7,left,0,22,10.714,Wed May 11 15:53:51 2016
238,1250,4,1150,1,right,0,19,5.243,Wed May 11 15:53:57 2016
239,6500,10,6050,7,left,1,12,4.461,Wed May 11 15:54:02 2016
240,5150,1,6050,7,left,0,16,8.68,Wed May 11 15:54:11 2016
